position,cell_value,face1,face2,face3,face4
A1,71,0.88,0.09,0.75,0.73
A2,57,0.97,0.99,0.80,0.25
A3,80,0.19,0.76,0.49,0.04
A4,2,0.50,0.72,0.96,0.60
A5,45,0.66,0.27,0.31,0.26
A6,51,0.21,0.17,0.82,0.35
A7,34,0.22,0.63,0.90,0.50
A8,83,0.50,0.87,0.99,0.47
A9,79,0.87,0.04,0.28,0.67
A10,96,0.82,0.81,0.40,0.37
A11,22,0.38,0.93,0.07,0.44
A12,15,0.86,0.33,0.41,0.69
A13,80,0.65,0.66,0.54,0.49
A14,56,0.02,0.39,0.81,0.81
A15,43,0.11,0.75,0.81,0.08
A16,0,0.88,0.92,0.22,0.53
A17,79,0.42,0.79,0.50,0.94
B1,0,0.58,0.93,0.73,0.03
B2,34,0.30,0.46,0.07,0.13
B3,0,0.39,0.31,0.68,0.25
B4,32,0.48,0.08,0.35,0.26
B5,64,0.28,0.01,0.76,0.61
B6,52,0.34,0.81,0.05,1.00
B7,16,0.72,0.56,0.06,0.17
B8,54,0.09,0.85,0.08,0.42
B9,51,0.36,0.40,0.30,0.30
B10,73,0.09,0.22,0.51,0.87
B11,3,0.87,0.82,0.26,0.10
B12,70,0.15,0.17,0.38,0.60
B13,47,0.29,0.06,0.78,0.21
B14,54,0.67,0.97,0.74,0.76
B15,61,0.93,0.19,0.10,0.37
B16,57,0.72,0.72,0.07,0.22
B17,99,0.64,0.13,0.64,0.59
C1,94,0.39,0.81,0.47,0.24
C2,61,0.83,0.47,0.14,0.33
C3,78,0.61,0.58,0.07,0.44
C4,7,0.30,0.57,0.77,0.09
C5,40,0.38,0.61,0.84,0.57
C6,61,0.53,0.98,0.61,0.19
C7,16,0.16,0.21,0.89,0.00
C8,88,0.18,0.73,0.60,0.19
C9,87,0.97,0.22,0.71,0.36
C10,49,0.64,0.80,0.40,0.88
C11,68,0.12,0.72,0.68,0.60
C12,16,0.15,0.10,0.09,0.14
C13,37,0.06,0.94,0.05,0.87
C14,35,0.19,0.45,0.83,0.72
C15,8,0.47,0.69,0.04,0.57
C16,67,0.81,0.61,0.99,0.14
C17,0,0.49,0.57,0.70,0.51
D1,79,0.49,0.39,0.20,0.09
D2,73,0.03,0.96,0.49,0.57
D3,34,0.59,0.90,0.26,0.80
D4,32,0.65,0.57,0.67,0.01
D5,58,0.62,0.31,0.80,0.67
D6,73,0.03,0.38,0.13,0.25
D7,16,0.40,0.11,0.62,0.56
D8,46,0.97,0.73,0.92,0.07
D9,7,0.34,0.35,0.06,0.88
D10,58,0.27,0.21,0.37,0.22
D11,78,0.81,0.80,0.13,0.35
D12,1,0.27,0.40,0.96,0.19
D13,85,0.74,0.31,0.72,0.85
D14,33,0.66,0.58,0.89,0.69
D15,17,0.51,0.79,0.96,0.45
D16,1,0.37,0.74,0.39,0.46
D17,58,0.54,0.30,0.38,0.63
E1,46,0.96,0.31,0.17,0.56
E2,50,0.14,0.33,0.49,0.78
E3,30,0.01,0.36,0.23,0.08
E4,42,0.14,0.97,0.09,0.95
E5,33,0.67,0.15,0.87,0.18
E6,25,0.21,0.14,0.61,0.46
E7,65,0.34,0.39,0.90,0.68
E8,45,0.13,0.88,0.42,0.13
E9,35,0.76,0.32,0.88,0.29
E10,47,0.00,0.41,0.57,0.51
E11,30,0.78,0.97,0.72,0.03
E12,29,0.71,0.55,0.77,0.48
E13,55,0.40,0.18,0.66,0.76
E14,39,0.29,0.50,0.58,0.60
E15,33,0.97,0.09,0.91,0.33
E16,31,0.96,0.96,0.81,0.09
E17,96,0.35,0.44,0.01,0.70
F1,49,0.14,0.90,0.65,0.01
F2,24,0.76,0.32,0.73,0.25
F3,29,0.94,0.02,0.75,0.95
F4,58,0.35,0.07,0.56,1.00
F5,2,0.73,0.32,0.48,0.82
F6,29,0.68,0.29,0.20,0.24
F7,89,0.10,0.67,0.82,0.71
F8,99,0.74,0.35,0.48,0.66
F9,67,0.63,0.53,0.58,0.04
F10,23,0.60,0.05,0.15,0.28
F11,50,0.73,0.31,0.18,0.20
F12,20,0.99,0.93,0.31,0.36
F13,59,0.70,0.65,0.69,0.26
F14,11,0.39,0.95,0.54,0.59
F15,0,0.17,0.15,0.09,0.81
F16,55,0.53,0.05,0.54,0.73
F17,64,0.40,0.13,0.97,0.37
G1,85,0.00,0.64,0.92,0.32
G2,16,0.58,0.74,0.38,0.14
G3,10,0.39,0.94,0.32,0.74
G4,52,0.63,0.04,0.40,0.18
G5,70,0.45,0.58,0.88,0.93
G6,1,0.94,0.96,0.04,0.97
G7,21,0.02,0.53,0.91,0.74
G8,53,0.24,0.79,0.77,0.73
G9,46,0.69,0.70,0.59,0.14
G10,39,0.71,0.37,0.73,0.15
G11,48,0.63,0.84,0.16,0.49
G12,54,0.91,0.12,0.69,0.23
G13,66,0.67,0.19,0.71,0.12
G14,90,0.97,0.87,0.78,0.79
G15,67,0.66,0.28,0.73,0.87
G16,13,0.12,0.13,0.83,0.35
G17,32,0.69,0.82,0.76,0.79
H1,59,0.23,0.46,0.25,0.59
H2,17,0.20,0.43,0.41,0.31
H3,26,0.05,0.66,0.93,0.02
H4,16,0.54,0.87,0.57,0.59
H5,84,0.80,0.16,0.87,0.60
H6,63,0.69,0.20,0.70,0.29
H7,53,0.55,0.69,0.48,0.51
H8,24,0.81,0.39,0.09,0.13
H9,81,0.12,0.62,0.17,0.37
H10,3,0.34,0.60,0.50,0.77
H11,75,0.90,0.19,0.61,0.85
H12,73,0.30,0.35,0.55,0.31
H13,89,0.19,0.89,0.55,0.71
H14,88,0.43,0.84,0.08,0.05
H15,19,0.47,0.15,0.87,0.79
H16,1,0.43,0.08,0.85,0.44
H17,69,0.72,0.99,0.43,0.04
I1,50,0.60,0.39,0.80,0.77
I2,47,0.32,0.43,0.72,0.99
I3,64,0.19,0.58,0.35,0.19
I4,0,0.16,0.71,0.14,0.37
I5,45,0.08,0.09,0.79,0.56
I6,55,0.75,0.66,0.31,0.13
I7,22,0.18,0.66,0.01,0.10
I8,27,0.61,0.40,0.70,0.77
I9,43,0.52,0.94,0.17,0.14
I10,93,0.92,0.39,0.84,0.25
I11,14,0.02,0.29,0.63,0.03
I12,72,0.17,0.57,0.54,0.43
I13,2,0.56,0.34,0.42,0.68
I14,58,0.19,0.68,0.16,0.67
I15,48,0.12,0.21,0.54,0.52
I16,13,0.16,0.12,0.72,0.10
I17,15,0.66,0.16,0.72,0.38
J1,45,0.71,0.41,0.77,0.04
J2,39,0.48,0.78,0.45,0.04
J3,88,0.95,0.60,0.36,0.77
J4,13,0.03,0.01,0.07,0.20
J5,26,0.99,0.82,0.34,0.14
J6,85,0.30,0.61,0.76,0.32
J7,12,0.44,0.41,0.62,0.57
J8,13,0.13,0.27,0.15,0.81
J9,41,0.37,0.08,0.46,0.39
J10,100,0.12,0.45,0.56,0.81
J11,52,0.40,0.14,0.11,0.29
J12,21,0.16,0.78,0.15,0.31
J13,71,0.20,0.39,0.46,0.38
J14,35,0.32,0.22,0.53,0.29
J15,36,0.89,0.34,0.34,0.57
J16,51,0.74,0.36,0.21,0.18
J17,19,0.14,0.50,0.49,0.30
K1,69,0.43,0.65,0.69,0.11
K2,14,0.25,0.91,0.81,0.32
K3,23,0.33,0.18,0.36,0.52
K4,0,0.76,0.37,0.96,0.84
K5,21,0.52,0.08,0.55,0.87
K6,45,0.55,0.95,0.83,0.76
K7,13,0.64,0.46,0.45,0.69
K8,15,0.50,0.05,0.84,0.13
K9,65,0.23,0.93,0.25,0.55
K10,48,0.78,0.24,0.95,0.19
K11,75,0.52,0.62,0.08,0.23
K12,55,0.47,0.69,0.50,0.46
K13,83,0.69,0.27,0.34,0.44
K14,36,0.68,0.19,0.66,0.26
K15,0,0.30,0.32,0.01,0.10
K16,80,0.58,0.26,0.96,0.21
K17,15,0.04,0.98,0.05,0.90
L1,65,0.59,0.73,0.97,0.78
L2,16,0.17,0.87,0.25,0.26
L3,41,0.50,0.33,0.00,0.75
L4,7,0.26,0.09,0.37,0.69
L5,95,0.64,0.41,0.85,0.24
L6,67,0.78,0.86,0.58,0.56
L7,69,0.44,0.09,0.19,0.15
L8,57,0.25,0.03,0.96,0.30
L9,29,0.29,0.39,0.34,0.32
L10,4,0.39,0.36,0.31,0.59
L11,24,0.89,0.05,0.71,0.41
L12,53,0.38,0.94,0.66,0.94
L13,44,0.19,0.62,0.51,0.98
L14,28,0.94,0.91,0.74,0.72
L15,48,0.21,0.64,0.30,0.63
L16,6,0.36,0.93,0.22,0.76
L17,88,0.65,0.23,0.35,0.21
M1,32,0.00,0.62,0.41,0.35
M2,88,0.23,0.14,0.91,0.35
M3,52,0.68,0.24,0.53,0.63
M4,60,0.08,0.72,0.22,0.69
M5,29,0.87,0.59,0.91,0.21
M6,91,0.05,0.73,0.47,0.23
M7,46,0.01,0.79,0.71,0.28
M8,46,0.94,0.46,0.65,0.27
M9,14,0.19,0.68,0.17,0.71
M10,37,0.03,0.66,0.56,0.32
M11,52,0.35,0.50,0.82,0.68
M12,40,0.56,0.56,0.80,0.52
M13,85,0.56,0.68,0.60,0.44
M14,29,0.48,0.88,0.27,0.29
M15,37,0.09,0.10,0.06,1.00
M16,96,0.57,0.67,0.37,0.66
M17,20,0.10,0.24,0.22,0.68
N1,89,0.46,0.61,0.98,0.75
N2,8,0.65,0.54,0.41,0.84
N3,98,0.35,0.38,0.67,0.30
N4,62,0.32,0.12,0.20,0.18
N5,76,1.00,0.07,0.10,0.40
N6,36,0.84,0.37,0.37,0.55
N7,60,0.32,0.88,0.08,0.09
N8,17,0.51,0.34,0.02,0.63
N9,28,0.48,0.12,0.48,0.87
N10,59,0.91,0.69,0.37,0.83
N11,37,0.36,0.46,0.18,0.65
N12,11,0.83,0.06,0.17,0.19
N13,38,0.48,0.46,0.37,0.89
N14,83,0.54,0.01,0.55,0.43
N15,91,0.82,0.18,0.83,0.13
N16,46,0.95,0.63,0.55,0.37
N17,85,0.07,0.20,0.07,0.55
O1,38,0.54,0.95,0.15,0.84
O2,44,0.33,0.21,0.10,0.77
O3,85,0.59,0.04,0.52,0.40
O4,15,0.65,0.51,0.31,0.92
O5,35,0.96,0.10,0.89,0.57
O6,75,0.55,0.93,0.26,0.85
O7,3,0.05,0.45,0.48,0.09
O8,10,0.24,0.38,0.30,0.20
O9,74,0.74,0.59,0.37,0.85
O10,62,0.62,0.27,0.48,0.88
O11,11,0.24,0.90,0.23,0.22
O12,94,0.55,0.38,0.66,0.55
O13,63,0.13,0.61,0.34,0.79
O14,67,0.27,0.64,0.16,0.51
O15,8,0.10,0.39,0.14,0.94
O16,96,0.15,0.18,0.57,0.99
O17,81,0.42,0.04,0.04,0.87
P1,2,0.44,0.65,0.20,0.31
P2,4,0.51,0.65,0.23,0.83
P3,59,0.24,0.21,0.04,0.60
P4,70,0.12,0.48,0.08,0.96
P5,35,0.73,0.30,0.71,0.96
P6,16,0.10,0.65,0.86,0.80
P7,40,0.93,0.19,0.49,0.12
P8,67,0.84,0.54,0.74,0.57
P9,35,0.64,0.27,0.57,0.97
P10,4,0.53,0.75,0.42,0.78
P11,61,0.88,0.61,0.30,0.27
P12,75,0.69,0.47,0.03,0.50
P13,71,0.90,0.36,0.19,0.69
P14,23,0.16,0.48,0.99,0.85
P15,73,0.59,0.46,0.22,0.55
P16,100,0.98,0.58,0.45,0.92
P17,50,0.23,0.70,0.50,0.93
Q1,4,0.74,0.11,0.68,0.99
Q2,12,0.53,0.53,0.80,0.42
Q3,80,0.62,0.65,0.11,0.81
Q4,57,0.31,0.42,0.14,0.86
Q5,43,0.53,0.42,0.82,0.09
Q6,86,0.62,0.96,0.88,0.01
Q7,17,0.41,0.75,0.78,0.51
Q8,43,0.64,0.46,0.70,0.49
Q9,98,0.51,0.47,0.01,0.10
Q10,43,0.74,0.75,0.06,0.92
Q11,68,0.64,0.33,1.00,0.30
Q12,17,0.93,0.55,0.73,0.70
Q13,14,0.29,0.18,0.93,0.80
Q14,21,0.44,0.82,0.23,0.00
Q15,14,0.04,0.81,0.02,0.51
Q16,47,0.09,0.74,0.13,0.42
Q17,71,0.42,0.90,0.35,0.13
